Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L)
1/3/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,11284
13/3/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143628,MOBIL SUPER 1000 TBS 15W-40 TH 4X7L/CAR,8456
1/3/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143628,MOBIL SUPER 1000 TBS 15W-40 TH 4X7L/CAR,6804
23/8/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145575,M SUP EVD ProtectionTBS 15W-40 4x7L/CAR,2800
18/9/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145575,M SUP EVD ProtectionTBS 15W-40 4x7L/CAR,10472
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,135896,MOBILUBE HD 85W-140 18L/PAIL,6260
7/7/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,6636
30/10/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,10864
28/8/2023,A,ERW_A6CB2023080004,Retails,Khon Kaen,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,476
28/6/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,8736
26/6/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,6160
28/9/2023,A,ERW_AMBP2020110030,Retails,Bangkok,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,13384
23/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143877,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,10304
23/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145570,M SUP Friction Fighter 10W-40 4x4+1L/CAR,13944
16/11/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,13580
5/4/2023,A,ERW_AMBP2020110217,Retails,Nakhon Ratchasima,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,8148
6/1/2023,A,ERW_AMBP2020110217,Retails,Nakhon Ratchasima,142931,MOBIL DELVAC MX 15W-40 4X6+1L:TH,12152
10/3/2023,A,ERW_AMBP2020110218,Retails,Nakhon Ratchasima,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,13944
